"","country","agedep","fertility","imuni","sanit","survival65","pop","tuberculosis","wage","unemp"
"1","Andorra",NA,NA,95,100,NA,-4.39968392210089,60,NA,NA
"2","Antigua and Barbuda",47.2219495435359,2.088,98,NA,7.12452075345891,1.02316395171461,67,NA,NA
"3","Argentina",56.655282988392,2.335,94,95.8,10.6998318503718,1.04706505456002,51,75.3000030517578,8.60000038146973
"4","Aruba",44.3553024671445,1.669,NA,97.7,11.3319924991012,0.514335275703456,NA,NA,NA
"5","Australia",49.6142652316485,1.921,94,100,14.37815703296,1.73429976973791,85,89.599998474121,5.59999990463257
"6","Austria",48.7646448798119,1.44,76,100,18.4241428204816,0.584103985990017,72,86.8000030517578,4.90000009536743
"7","Bahamas, The",41.0028100475058,1.883,92,92,7.68736055642453,1.4537150739224,76,NA,16.2000007629395
"8","Bahrain",30.1203111485245,2.075,99,99.2,2.29690083272382,1.18152521488202,NA,NA,6.5
"9","Barbados",48.9939717415496,1.791,87,95.5,13.3775570524915,0.327257096475469,100,83.1999969482422,13.8000001907349
"10","Belgium",52.9106205499759,1.79,96,99.5,17.7501241356456,0.489184301296706,79,84.9000015258789,8.10000038146973
"11","Bermuda",NA,1.63,NA,NA,NA,0.313281274113408,NA,NA,NA
"12","Brunei Darussalam",38.6410115596225,1.893,96,NA,3.95845433403241,1.46561237679693,73,NA,4.09999990463257
"13","Canada",45.7464866292911,1.61,95,99.8,15.2468171713849,1.1557184377351,NA,91.1999969482422,6.59999990463257
"14","Cayman Islands",NA,NA,NA,95.6,NA,1.46174436576276,80,91.5,NA
"15","Channel Islands",46.0821147660621,1.459,NA,NA,16.6247270843356,0.49586776268242,NA,NA,NA
"16","Chile",45.3809271248845,1.774,90,99,10.4202059725989,1.07193883582197,47,NA,7
"17","Croatia",50.1979604671994,1.51,94,97.1,18.2631756501292,-0.278509062850129,44,81.9000015258789,16.8999996185303
"18","Curacao",49.7361965579005,NA,NA,NA,14.1065688510991,1.13302880236381,0,NA,NA
"19","Cyprus",41.3614458428057,1.455,86,100,12.2860556456784,1.08757079913875,50,82.4000015258789,14.8999996185303
"20","Czech Republic",46.3100933958579,1.45,99,99.1,16.9779486888679,0.0331699460503076,69,82.099998474121,8.30000019073486
"21","Denmark",54.5355290216611,1.73,89,99.6,17.9746147649136,0.416901360752097,59,91,7.30000019073486
"22","Equatorial Guinea",73.8046436172068,4.924,42,74.5,2.87147370032193,2.97358762384424,62,NA,7.30000019073486
"23","Estonia",51.2890591819353,1.56,94,97.2,18.3040793909322,-0.355891802625531,87,90.9000015258789,8.10000038146973
"24","Faeroe Islands",NA,NA,NA,NA,NA,-0.208925969361939,NA,NA,NA
"25","Finland",54.7588520868794,1.8,97,97.6,19.0499427752596,0.460723772785295,53,86.599998474121,7.5
"26","France",57.9620729518332,2.01,89,98.7,18.1830928692418,0.434040089300732,NA,88.8000030517578,10.3999996185303
"27","French Polynesia",42.4045031695069,2.059,NA,98.5,7.18657638582774,1.08657826672362,93,NA,NA
"28","Germany",51.6200540733081,1.38,97,99.2,20.951761441487,0.272900214681538,67,88.8000030517578,4.90000009536743
"29","Greece",53.7306366824832,1.29,99,99,20.3184140913694,-0.589703847034326,NA,63,31.2999992370605
"30","Greenland",NA,2.05,NA,100,NA,-0.577265864735276,NA,NA,NA
"31","Guam",52.2498017592712,2.406,NA,89.8,8.08498010549841,1.411308828934,92,NA,NA
"32","Hong Kong SAR, China",34.8720474749607,1.124,NA,NA,14.0432137109101,0.458789963936049,67,89.9000015258789,2.70000004768372
"33","Hungary",46.7265769268475,1.34,99,98,17.3100487510362,-0.27536875707442,74,88.6999969482422,10.1999998092651
